#dexter	104319460143415296	positive	Oct. 2 is almost too far away for me to wait for the return of #Dexter!
#dexter	101769300683141120	positive	Let's see if I can wrap up season three of #Dexter tonight: only 1 more episode to go till the season finale. Roll on series four please!
#dexter	103277622636716032	positive	#3words "Tonight's the night" #dexter @SHO_Dexter
#dexter	106222697310208000	positive	#ICanHonestlySay #Dexter is such a good show, I may order Showtime just because of it.
#dexter	102976668825698305	positive	@hughhefner Make sure you & the girls watch seasons 1-5 of #Dexter, before season 6 premieres Oct 2. Seasons 1 & 4 are the best!
#dexter	105076027692302336	positive	Addicted to #Dexter... what's new. Almost done with season 5 and I just got it on Thursday!
#dexter	103748679004987392	positive	Barely going to sleep after watching #dexter all evening! I love this show!
#dexter	103535459300413440	positive	Beer and chicken night! Watching #Dexter till the working hours (11.59pm - 8 am) Maybe we should reserve the nickname "dexter"? Might be fun
#dexter	100018263337078785	positive	Enjoying a night of #Dexter with @DomoniqueP07 :)
#dexter	107551816442585088	positive	Finally starting the 5th season of #Dexter. See ya later, weekend!
#dexter	107641819298406400	positive	Fuck everyone else #dexter is my friend tonight. Bring it season 4
#dexter	103610752316870656	positive	The complete 5th season of #Dexter is available on DVD today! Or you could just watch it On Demand.. http://ht.ly/64rcd
#dexter	107355493328101376	positive	Yeah boiii #entourage tonight, so pissed that there's only 3 epsdes until it ends. Oh well on the up side #dexter season 6 starts soon...ish
a$ap rocky	263484862076420097	positive	@roslyngjones I'm going Tuesday to the house of blues to see A$AP Rocky
a$ap rocky	264029423173521408	positive	Whoever's going to A$AP Rocky wit me on the 8th better buy their tickets like today. I think imma get mine soon
a$ap rocky	263150115269779456	positive	"@Rican_Amor: Who wants to go to a A$AP Rocky concert with me on the 14th or 15th ?!?!?" you don't have a choice on who you taking we going!
a$ap rocky	263048213001535488	positive	AHHH! My mom said yes for me to go the A$AP Rocky concert!! Nov 8th we out! #EXCITED
a$ap rocky	263069843765469184	negative	May I ask what's so cool about A$ap Rocky?
a$ap rocky	264082200927031297	positive	Oooh yha and the DMC and A$AP ROCKY one is 2-4th
cannavaro	245597031127728128	positive	This is Buffon's 122nd cap for Italy, now just 4 behind Maldini in 2nd and 14 behind the leader, Cannavaro. #Legend
careless world	189939715154255872	positive	Careless World is the album of the year by @Tyga
carling cup	263368741230882816	positive	Don't think Chelsea should appeal for Torres' red card. Let Sturridge play tomorrow. It's the Carling Cup, not PL.
carling cup	263771423749853186	positive	Have had two very enjoyable nights of Carling Cup action with Arsenal last night and CFC this. Will QPR v Reading on Sunday live up to it..?
carling cup final	210318502370885633	positive	@LivEchoLFC @Dirk_18_Kuyt @jamespearceecho Has to be the hat-trick against ManU....and in a very close 2nd the Carling Cup Final goal :o)
